ap,signal,sequence,x,y,z
A,11.0,0.0,22.0,17.0,2.0
A,10.0,1.0,22.0,17.0,2.0
A,10.0,2.0,22.0,17.0,2.0
A,9.0,3.0,22.0,17.0,2.0
A,11.0,4.0,22.0,17.0,2.0
A,11.0,5.0,22.0,17.0,2.0
A,12.0,6.0,22.0,17.0,2.0
A,13.0,7.0,22.0,17.0,2.0
A,12.0,8.0,22.0,17.0,2.0
A,12.0,9.0,22.0,17.0,2.0
A,11.0,10.0,22.0,17.0,2.0
A,11.0,11.0,22.0,17.0,2.0
A,12.0,12.0,22.0,17.0,2.0
A,11.0,13.0,22.0,17.0,2.0
A,11.0,14.0,22.0,17.0,2.0
A,9.0,15.0,22.0,17.0,2.0
A,9.0,16.0,22.0,17.0,2.0
A,10.0,17.0,22.0,17.0,2.0
A,10.0,18.0,22.0,17.0,2.0
B,26.0,0.0,22.0,17.0,2.0
B,27.0,1.0,22.0,17.0,2.0
B,27.0,2.0,22.0,17.0,2.0
B,27.0,3.0,22.0,17.0,2.0
B,28.0,4.0,22.0,17.0,2.0
B,27.0,5.0,22.0,17.0,2.0
B,26.0,6.0,22.0,17.0,2.0
B,27.0,7.0,22.0,17.0,2.0
B,27.0,8.0,22.0,17.0,2.0
B,29.0,9.0,22.0,17.0,2.0
D,52.0,0.0,22.0,17.0,2.0
D,49.0,1.0,22.0,17.0,2.0
D,52.0,2.0,22.0,17.0,2.0
D,48.0,3.0,22.0,17.0,2.0
D,53.0,4.0,22.0,17.0,2.0
D,49.0,5.0,22.0,17.0,2.0
C,23.0,0.0,22.0,17.0,2.0
C,23.0,1.0,22.0,17.0,2.0
C,23.0,2.0,22.0,17.0,2.0
C,24.0,3.0,22.0,17.0,2.0
C,23.0,4.0,22.0,17.0,2.0
C,24.0,5.0,22.0,17.0,2.0
C,24.0,6.0,22.0,17.0,2.0
C,24.0,7.0,22.0,17.0,2.0
C,22.0,8.0,22.0,17.0,2.0
C,23.0,9.0,22.0,17.0,2.0
A,11.0,19.0,22.0,17.0,2.0
A,11.0,20.0,22.0,17.0,2.0
A,11.0,21.0,22.0,17.0,2.0
A,12.0,22.0,22.0,17.0,2.0
A,11.0,23.0,22.0,17.0,2.0
A,10.0,24.0,22.0,17.0,2.0
A,10.0,25.0,22.0,17.0,2.0
A,11.0,26.0,22.0,17.0,2.0
A,8.0,27.0,22.0,17.0,2.0
A,7.0,28.0,22.0,17.0,2.0
A,10.0,29.0,22.0,17.0,2.0
A,10.0,30.0,22.0,17.0,2.0
A,8.0,31.0,22.0,17.0,2.0
A,7.0,32.0,22.0,17.0,2.0
A,7.0,33.0,22.0,17.0,2.0
A,11.0,34.0,22.0,17.0,2.0
A,7.0,35.0,22.0,17.0,2.0
A,11.0,36.0,22.0,17.0,2.0
A,9.0,37.0,22.0,17.0,2.0
B,29.0,10.0,22.0,17.0,2.0
B,30.0,11.0,22.0,17.0,2.0
B,30.0,12.0,22.0,17.0,2.0
B,30.0,13.0,22.0,17.0,2.0
B,30.0,14.0,22.0,17.0,2.0
B,30.0,15.0,22.0,17.0,2.0
B,30.0,16.0,22.0,17.0,2.0
B,31.0,17.0,22.0,17.0,2.0
B,30.0,18.0,22.0,17.0,2.0
B,29.0,19.0,22.0,17.0,2.0
D,48.0,6.0,22.0,17.0,2.0
D,48.0,7.0,22.0,17.0,2.0
D,46.0,8.0,22.0,17.0,2.0
D,49.0,9.0,22.0,17.0,2.0
C,18.0,10.0,22.0,17.0,2.0
C,26.0,11.0,22.0,17.0,2.0
C,25.0,12.0,22.0,17.0,2.0
C,24.0,13.0,22.0,17.0,2.0
C,23.0,14.0,22.0,17.0,2.0
C,24.0,15.0,22.0,17.0,2.0
C,25.0,16.0,22.0,17.0,2.0
C,23.0,17.0,22.0,17.0,2.0
C,24.0,18.0,22.0,17.0,2.0
C,24.0,19.0,22.0,17.0,2.0
A,7.0,38.0,22.0,17.0,2.0
A,8.0,39.0,22.0,17.0,2.0
A,6.0,40.0,22.0,17.0,2.0
A,8.0,41.0,22.0,17.0,2.0
A,11.0,42.0,22.0,17.0,2.0
A,11.0,43.0,22.0,17.0,2.0
A,11.0,44.0,22.0,17.0,2.0
A,11.0,45.0,22.0,17.0,2.0
A,11.0,46.0,22.0,17.0,2.0
A,10.0,47.0,22.0,17.0,2.0
A,9.0,48.0,22.0,17.0,2.0
A,10.0,49.0,22.0,17.0,2.0
A,11.0,50.0,22.0,17.0,2.0
A,9.0,51.0,22.0,17.0,2.0
A,9.0,52.0,22.0,17.0,2.0
A,9.0,53.0,22.0,17.0,2.0
A,10.0,54.0,22.0,17.0,2.0
A,9.0,55.0,22.0,17.0,2.0
A,10.0,56.0,22.0,17.0,2.0
B,32.0,20.0,22.0,17.0,2.0
B,31.0,21.0,22.0,17.0,2.0
B,30.0,22.0,22.0,17.0,2.0
B,32.0,23.0,22.0,17.0,2.0
B,32.0,24.0,22.0,17.0,2.0
B,30.0,25.0,22.0,17.0,2.0
B,30.0,26.0,22.0,17.0,2.0
B,30.0,27.0,22.0,17.0,2.0
B,30.0,28.0,22.0,17.0,2.0
B,30.0,29.0,22.0,17.0,2.0
D,52.0,10.0,22.0,17.0,2.0
D,51.0,11.0,22.0,17.0,2.0
D,49.0,12.0,22.0,17.0,2.0
D,52.0,13.0,22.0,17.0,2.0
D,48.0,14.0,22.0,17.0,2.0
D,51.0,15.0,22.0,17.0,2.0
D,48.0,16.0,22.0,17.0,2.0
